class	apply	decision_function	predict	predict_proba
sklearn.calibration.CalibratedClassifierCV	-	-	+	+
sklearn.calibration._SigmoidCalibration	-	-	+	-
sklearn.cluster._kmeans.KMeans	-	-	+	-
sklearn.cluster._kmeans.MiniBatchKMeans	-	-	+	-
sklearn.compose._target.TransformedTargetRegressor	-	-	+	-
sklearn.discriminant_analysis.LinearDiscriminantAnalysis	-	+	+	+
sklearn.dummy.DummyClassifier	-	-	+	+
sklearn.dummy.DummyRegressor	-	-	+	-
sklearn.ensemble._bagging.BaggingClassifier	-	+	+	+
sklearn.ensemble._bagging.BaggingRegressor	-	-	+	-
sklearn.ensemble._forest.ExtraTreesClassifier	+	-	+	+
sklearn.ensemble._forest.ExtraTreesRegressor	+	-	+	-
sklearn.ensemble._forest.RandomForestClassifier	+	-	+	+
sklearn.ensemble._forest.RandomForestRegressor	+	-	+	-
sklearn.ensemble._gb.GradientBoostingClassifier	+	+	+	+
sklearn.ensemble._gb.GradientBoostingRegressor	+	-	+	-
sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier	-	+	+	+
sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingRegressor	-	-	+	-
sklearn.ensemble._stacking.StackingClassifier	-	+	+	+
sklearn.ensemble._stacking.StackingRegressor	-	-	+	-
sklearn.ensemble._voting.VotingClassifier	-	-	+	+
sklearn.ensemble._voting.VotingRegressor	-	-	+	-
sklearn.ensemble._weight_boosting.AdaBoostRegressor	-	-	+	-
sklearn.isotonic.IsotonicRegression	-	-	+	-
sklearn.linear_model._base.LinearRegression	-	-	+	-
sklearn.linear_model._bayes.ARDRegression	-	-	+	-
sklearn.linear_model._bayes.BayesianRidge	-	-	+	-
sklearn.linear_model._coordinate_descent.ElasticNet	-	-	+	-
sklearn.linear_model._coordinate_descent.ElasticNetCV	-	-	+	-
sklearn.linear_model._coordinate_descent.Lasso	-	-	+	-
sklearn.linear_model._coordinate_descent.LassoCV	-	-	+	-
sklearn.linear_model._glm.glm.GammaRegressor	-	-	+	-
sklearn.linear_model._glm.glm.PoissonRegressor	-	-	+	-
sklearn.linear_model._huber.HuberRegressor	-	-	+	-
sklearn.linear_model._least_angle.Lars	-	-	+	-
sklearn.linear_model._least_angle.LarsCV	-	-	+	-
sklearn.linear_model._least_angle.LassoLars	-	-	+	-
sklearn.linear_model._least_angle.LassoLarsCV	-	-	+	-
sklearn.linear_model._logistic.LogisticRegression	-	+	+	+
sklearn.linear_model._logistic.LogisticRegressionCV	-	+	+	+
sklearn.linear_model._omp.OrthogonalMatchingPursuit	-	-	+	-
sklearn.linear_model._omp.OrthogonalMatchingPursuitCV	-	-	+	-
sklearn.linear_model._quantile.QuantileRegressor	-	-	+	-
sklearn.linear_model._ridge.RidgeClassifier	-	+	+	-
sklearn.linear_model._ridge.RidgeClassifierCV	-	+	+	-
sklearn.linear_model._ridge.Ridge	-	-	+	-
sklearn.linear_model._ridge.RidgeCV	-	-	+	-
sklearn.linear_model._stochastic_gradient.SGDClassifier	-	+	+	+
sklearn.linear_model._stochastic_gradient.SGDRegressor	-	-	+	-
sklearn.linear_model._theil_sen.TheilSenRegressor	-	-	+	-
sklearn.multiclass.OneVsRestClassifier	-	+	+	+
sklearn.multioutput.ClassifierChain	-	+	+	+
sklearn.multioutput.MultiOutputClassifier	-	-	+	+
sklearn.multioutput.MultiOutputRegressor	-	-	+	-
sklearn.multioutput.RegressorChain	-	-	+	-
sklearn.naive_bayes.GaussianNB	-	-	+	+
sklearn.neighbors._classification.KNeighborsClassifier	-	-	+	+
sklearn.neighbors._nearest_centroid.NearestCentroid	-	-	+	-
sklearn.neighbors._regression.KNeighborsRegressor	-	-	+	-
sklearn.neural_network._multilayer_perceptron.MLPClassifier	-	-	+	+
sklearn.neural_network._multilayer_perceptron.MLPRegressor	-	-	+	-
sklearn.svm._classes.LinearSVC	-	+	+	-
sklearn.svm._classes.LinearSVR	-	-	+	-
sklearn.svm._classes.NuSVC	-	+	+	+
sklearn.svm._classes.NuSVR	-	-	+	-
sklearn.svm._classes.SVC	-	+	+	+
sklearn.svm._classes.SVR	-	-	+	-
sklearn.tree._classes.DecisionTreeClassifier	+	-	+	+
sklearn.tree._classes.DecisionTreeRegressor	+	-	+	-
sklearn.tree._classes.ExtraTreeClassifier	+	-	+	+
sklearn.tree._classes.ExtraTreeRegressor	+	-	+	-
