class	transform
sklearn.cluster._kmeans.KMeans	+
sklearn.cluster._kmeans.MiniBatchKMeans	+
sklearn.compose._column_transformer.ColumnTransformer	+
sklearn.decomposition._incremental_pca.IncrementalPCA	+
sklearn.decomposition._pca.PCA	+
sklearn.decomposition._truncated_svd.TruncatedSVD	+
sklearn.discriminant_analysis.LinearDiscriminantAnalysis	+
sklearn.ensemble._hist_gradient_boosting.binning._BinMapper	+
sklearn.ensemble._stacking.StackingClassifier	+
sklearn.ensemble._stacking.StackingRegressor	+
sklearn.ensemble._voting.VotingClassifier	+
sklearn.ensemble._voting.VotingRegressor	+
sklearn.feature_extraction._dict_vectorizer.DictVectorizer	+
sklearn.feature_extraction.text.TfidfTransformer	+
sklearn.feature_selection._from_model.SelectFromModel	+
sklearn.feature_selection._rfe.RFE	+
sklearn.feature_selection._rfe.RFECV	+
sklearn.feature_selection._univariate_selection.GenericUnivariateSelect	+
sklearn.feature_selection._univariate_selection.SelectFdr	+
sklearn.feature_selection._univariate_selection.SelectFpr	+
sklearn.feature_selection._univariate_selection.SelectFwe	+
sklearn.feature_selection._univariate_selection.SelectKBest	+
sklearn.feature_selection._univariate_selection.SelectPercentile	+
sklearn.feature_selection._variance_threshold.VarianceThreshold	+
sklearn.impute._base.MissingIndicator	+
sklearn.impute._base.SimpleImputer	+
sklearn.isotonic.IsotonicRegression	+
sklearn.pipeline.FeatureUnion	+
sklearn.preprocessing._data.Binarizer	+
sklearn.preprocessing._data.MaxAbsScaler	+
sklearn.preprocessing._data.MinMaxScaler	+
sklearn.preprocessing._data.PowerTransformer	+
sklearn.preprocessing._data.QuantileTransformer	+
sklearn.preprocessing._data.RobustScaler	+
sklearn.preprocessing._data.StandardScaler	+
sklearn.preprocessing._discretization.KBinsDiscretizer	+
sklearn.preprocessing._encoders.OneHotEncoder	+
sklearn.preprocessing._encoders.OrdinalEncoder	+
sklearn.preprocessing._function_transformer.FunctionTransformer	+
sklearn.preprocessing._label.LabelBinarizer	+
sklearn.preprocessing._label.LabelEncoder	+
sklearn.preprocessing._polynomial.PolynomialFeatures	+
sklearn.preprocessing._polynomial.SplineTransformer	+
sklearn.preprocessing._target_encoder.TargetEncoder	+
